Membership No  Date Joined  Active  
    64458      2020-5-14    no    
    61094      2016-10-12   no    
    55553      2015-6-9     no    
    84721      2017-6-3     no    
    30367      2018-2-2     no    
    67962      2017-10-12   no    
    81281      2017-1-8     no    
    66724      2018-1-7     no    
    18817      2018-12-22   no    
    43018      2020-1-2     no    
    79637      2017-10-9    no    
    48710      2017-11-20   no    
    37688      2019-5-5     no    
    58774      2018-6-9     no    
    92803      2018-2-25    no    
    75184      2017-1-23    no    
