Membership No  Date Joined  Active  
    61064      2019-9-5     no    
    42059      2019-9-15    no    
    93347      2018-6-10    no    
    28700      2015-5-13    no    
    39879      2018-1-8     no    
    14620      2016-7-10    no    
    97814      2017-4-12    no    
    74140      2016-7-4     no    
    33431      2017-7-14    no    
    90956      2015-11-4    no    
    67318      2019-4-18    no    
    33860      2018-8-19    no    
    39709      2020-11-15   no    
    49849      2015-10-11   no    
